N,T,p,chunk,TIME_mean,RSS_mean,TIME_dec_mean,TIME_std,RSS_std,TIME_dec_std,S_pred
100,4,10,0,0.0021622,1101.6,0.0011492,0.004258710702130921,33.370645783382734,0.0021315705112532504,9
100,4,10,1,0.00013199999999999998,1088.0,0.0001281,5.597618541248888e-06,78.11103208467631,5.546770832355223e-06,10
100,4,10,4,0.0001327,1134.0,0.0001287,5.657836257007718e-06,61.48531893423376,5.538752366533255e-06,9
100,4,10,10,0.00012880000000000001,1115.2,0.0001251,6.088240030309801e-06,57.80580516791641,5.896326540030384e-06,9
100,4,10,50,0.00013490000000000003,1141.6,0.00013089999999999998,5.108815909777919e-06,30.240517338314316,5.087020520675907e-06,9
100,6,10,0,0.00024059999999999997,1527.2,0.00023580000000000004,0.00010459041808672321,844.6933434356189,0.0001049918515356734,8
100,6,10,1,0.00019020000000000002,1106.8,0.00018599999999999997,1.2227473619317737e-05,68.3012933015669,1.2174654911833115e-05,10
100,6,10,4,0.00022549999999999995,1510.8,0.00022070000000000002,8.298895508841322e-05,808.2179024110873,8.259143081727332e-05,9
100,6,10,10,0.0002066,1273.2,0.00020099999999999995,4.7138566423306135e-05,621.9340443773403,4.6669047558312137e-05,9
100,6,10,50,0.00019199999999999998,1100.4,0.00018720000000000002,1.4173527750312863e-05,70.23642613028909,1.3966626889362613e-05,9
100,8,10,0,0.0083494,1279.2,0.005296,0.002614477436633689,598.1506313444614,6.346127428072433e-05,10
100,8,10,1,0.008398899999999999,1900.4,0.0053523,0.003513280089729381,1376.1478602727736,0.002379388532562282,9
100,8,10,4,0.0064068,1140.8,0.0038705999999999996,0.005075737665053666,45.089540546191714,0.002279420013950917,7
100,8,10,10,0.007035300000000001,1503.6,0.0044997,0.004615723466827515,775.1712642306143,0.0031147066582050175,10
100,8,10,50,0.0082243,1132.4,0.0046789,0.003612733930910987,28.31254139069822,0.0015741757243430963,7
1000,4,10,0,0.00016979999999999998,1506.0,0.0001645,7.357203575030695e-05,811.4782122083678,7.292499952386393e-05,10
1000,4,10,1,0.00013950000000000003,1114.8,0.0001343,5.835713800003862e-06,39.01224878875295,6.03784361801095e-06,9
1000,4,10,4,0.0001406,1120.8,0.00013509999999999998,6.328067986711613e-06,53.49309405064462,6.208417225383976e-06,9
1000,4,10,10,0.00015699999999999997,1319.6,0.0001516,6.458069887099913e-05,581.166489819302,6.437080083391848e-05,10
1000,4,10,50,0.0001341,1116.8,0.00012919999999999997,7.046669820245271e-06,36.211723086438305,6.5962952565141494e-06,9
1000,6,10,0,0.00025910000000000006,1708.0,0.000253,9.403007793017911e-05,946.6178391163635,9.409805760186788e-05,7
1000,6,10,1,0.0002568,1519.6,0.00025079999999999997,0.0001192670206814198,842.4355168201303,0.00011850532102446334,7
1000,6,10,4,0.00021539999999999998,1313.2,0.00020930000000000002,5.453072528400846e-05,606.9378148633607,5.419727340415239e-05,6
1000,6,10,10,0.00022899999999999998,1510.8,0.00022240000000000004,6.659329295557224e-05,871.8104788949896,6.56915350542045e-05,7
1000,6,10,50,0.00020360000000000002,1116.0,0.0001978,1.3929983648391137e-05,36.073998022583154,1.4156270695349116e-05,6
1000,8,10,0,0.0076352,1318.8,0.0045924,0.004411383501805301,651.5050609507531,0.0014895608748889723,6
1000,8,10,1,0.006351,1345.6,0.004823,0.0032001548226435685,594.8107448779168,0.0015999687496948184,10
1000,8,10,4,0.0067255,1688.8,0.0051959,0.0025739215325171734,974.4227693015662,0.000639037548888083,9
1000,8,10,10,0.0063084000000000005,1306.4,0.004772900000000001,0.003891349957134271,586.942965239762,0.0013079279159545962,9
1000,8,10,50,0.0068779999999999996,1536.8,0.0048345,0.003802953384469029,825.4502878900569,0.0023672101371304856,8
1000,16,10,0,0.0509721,1511.2,0.027930099999999996,0.025317255931039954,806.6254534926494,0.013501821938373931,7
1000,16,10,1,0.0444932,1812.8,0.0246293,0.02944495143974411,1133.3738031990054,0.011077302700667806,6
1000,16,10,4,0.04894559999999999,2334.4,0.0257054,0.022930072719756764,923.6029931138643,0.011399087567773913,7
1000,16,10,10,0.0504053,1688.4,0.0266432,0.025357989506048954,901.0402876675382,0.012832204208336324,4
1000,16,10,50,0.0754425,2214.4,0.039276200000000004,0.00809016326232735,1209.2549772483883,0.007467368818175962,8
10000,4,10,0,0.009285600000000001,1115.2,0.0047254,0.003184713634431412,38.35738375969989,0.0015877329190459655,10
10000,4,10,1,0.0001939,1102.4,0.00017939999999999997,5.4252496102330005e-06,53.3733183445728,4.718756898449702e-06,10
10000,4,10,4,0.0001876,1129.2,0.0001738,6.963396361610397e-06,47.443065293512014,5.9962951524716905e-06,10
10000,4,10,10,0.00018649999999999998,1115.2,0.0001729,7.546154281781181e-06,64.32694268776929,7.607744592044205e-06,10
10000,4,10,50,0.0037263000000000005,1114.0,0.0016868999999999999,0.005862952423670366,36.575644598253874,0.0024385659925456192,9
10000,6,10,0,0.0344534,1306.4,0.0216619,0.006705690207246049,608.8187469737333,0.004791139726388469,7
10000,6,10,1,0.03487930000000001,1855.2,0.0222866,0.006195700427626315,963.7644709967034,0.003753372504236098,6
10000,6,10,4,0.033629,1875.2,0.022637,0.005987764116188205,958.6394061956305,0.004103327673973893,5
10000,6,10,10,0.0082287,1136.4,0.0059003,0.016751179262302036,51.17117244004566,0.01192501469880296,9
10000,6,10,50,0.0002721,1114.8,0.0002587,1.3803783700291897e-05,58.333904759105955,1.4166078419159546e-05,9
10000,8,10,0,0.0224337,1448.8,0.0168401,0.016311314451086467,852.2488942660927,0.012076094902740704,7
10000,8,10,1,0.047126799999999996,1313.6,0.03256250000000001,0.00938386027886889,583.8544719743478,0.006058545209500012,8
10000,8,10,4,0.015575399999999998,1510.0,0.0124301,0.018746988547497432,873.4183164758772,0.012171519757660138,7
10000,8,10,10,0.0055729,1319.2,0.0055512,0.0026105860325477365,649.8842290062986,0.002606080317684438,10
10000,8,10,50,0.024362400000000003,1306.4,0.0168956,0.022915233856784248,608.8713055044282,0.014187219586656153,7
10000,16,10,0,0.0384946,2778.8,0.0250716,0.021774574424722467,1372.8983777234043,0.014575594115583153,3
10000,16,10,1,0.028323900000000003,2289.2,0.016116799999999997,0.004555839218946263,981.5797697815723,0.002949068206889913,3
10000,16,10,4,0.0287713,2111.6,0.018078900000000002,0.004137761124354839,1056.2431538239668,0.004006177159504225,4
10000,16,10,10,0.0266297,1900.8,0.014688099999999999,0.00457614318564832,978.2302387475047,0.003792488378360572,1
10000,16,10,50,0.041097299999999996,2328.8,0.020846699999999996,0.02303577777694708,1015.1611585249791,0.011832470382149471,1
50000,4,10,0,0.010493599999999997,1109.2,0.0053902,2.244598454562015e-05,27.066995071899324,2.0241870796281055e-05,10
50000,4,10,1,0.008002,1121.2,0.0043889,0.004259838364174031,53.40162294662339,0.0021101133961103713,10
50000,4,10,4,0.0004092999999999999,1135.6,0.0003575,1.2832683966254988e-05,40.942235731169674,1.2222474744866077e-05,10
50000,4,10,10,0.000392,1101.2,0.00034009999999999997,5.9243377501437054e-05,63.27506091133642,5.875079195683711e-05,10
50000,4,10,50,0.0004196,1312.4,0.00036799999999999995,6.745895871647523e-05,628.6308225907405,6.619835513230086e-05,10
50000,6,10,0,0.0005120000000000001,1681.6,0.00046300000000000003,9.236762299516956e-05,951.466143497614,9.156903892085408e-05,10
50000,6,10,1,0.00047659999999999993,1115.6,0.000428,2.017258866217555e-05,58.86179670304935,1.9832633040858017e-05,9
50000,6,10,4,0.0004987,1516.8,0.00044989999999999993,7.167372058308554e-05,838.807195433558,7.187404105640491e-05,9
50000,6,10,10,0.0004788,1126.8,0.0004287,1.957776516584283e-05,48.480924083602204,2.036909423612154e-05,8
50000,6,10,50,0.0004845,1313.2,0.0004352,5.5954842904296e-05,652.9415151621332,5.6290516272478996e-05,8
50000,8,10,0,0.006874899999999999,1747.6,0.0068164,0.0026284011384194086,978.6674841050174,0.002633110294351952,10
50000,8,10,1,0.0049251,1141.2,0.0048665,0.0028923232664724353,54.61949184026604,0.0028904692141203956,7
50000,8,10,4,0.0055242,1292.8,0.0054619000000000004,0.002218840227586375,636.660174486969,0.002218839008230305,9
50000,8,10,10,0.0058189999999999995,1741.6,0.0057599,0.001961989976189141,1356.9641934193482,0.00196330110047112,10
50000,8,10,50,0.04663079999999999,1494.0,0.031486200000000006,0.01192575899098716,800.5470351925335,0.008641416792273,6
50000,16,10,0,0.065002,1886.8,0.0333225,0.017759647224974813,1382.5439354079613,0.007227367835756898,9
50000,16,10,1,0.032301500000000004,2643.2,0.019797099999999998,0.0148524336520615,1259.910120251088,0.008985973717720055,1
50000,16,10,4,0.034228600000000005,1992.4,0.0224645,0.02013625722808376,1209.7242293643255,0.009449139140683663,6
50000,16,10,10,0.028755000000000003,2690.8,0.0184451,0.004169781235934992,1270.2770301526093,0.005124612710569779,5
50000,16,10,50,0.047929,1917.6,0.0258093,0.022916314644569027,1017.6315858130803,0.009332648594524968,8
100000,4,10,0,0.005196700000000001,1135.2,0.0030723,0.004988709097106741,25.77164678047908,0.0026200306635186118,10
100000,4,10,1,0.0006624000000000001,1114.8,0.0005618,2.2925967809451342e-05,49.92616771015198,2.232487401980133e-05,10
100000,4,10,4,0.0006636000000000001,1122.4,0.0005644000000000001,2.6625802022349192e-05,51.74982554989383,2.5687004928995176e-05,10
100000,4,10,10,0.0006942999999999999,1325.2,0.0005953,6.777585607476062e-05,604.001618835211,6.714006917548484e-05,10
100000,4,10,50,0.0006939000000000001,1319.6,0.0005937000000000001,4.9160621097242705e-05,624.9891021272114,4.9517785805820425e-05,10
100000,6,10,0,0.0007551,1312.8,0.0006609000000000001,6.281268449392472e-05,631.2929941354049,6.0870445300745996e-05,7
100000,6,10,1,0.0007619,1288.4,0.0006686000000000001,7.371785551833572e-05,614.1659565803222,7.452844348897196e-05,8
100000,6,10,4,0.0007231000000000001,1134.4,0.0006308000000000002,2.166128138202148e-05,40.71363407999831,2.0037742166000417e-05,8
100000,6,10,10,0.0007463999999999999,1326.4,0.0006525999999999999,5.9294369228639435e-05,624.1657899415293,5.8128593078908524e-05,7
100000,6,10,50,0.037115999999999996,1709.6,0.0255363,0.007291196518176332,915.6538890019768,0.006477102834000879,5
100000,8,10,0,0.0225454,1318.4,0.015373499999999998,0.020778768155125183,626.769353288929,0.012514588910991489,7
100000,8,10,1,0.005124,1689.6,0.0050222999999999995,0.0017084885457945309,915.5781658481037,0.001704199326500408,8
100000,8,10,4,0.005049400000000001,1332.8,0.0049472,0.001519686458889903,599.2255742947633,0.0015156877280260897,8
100000,8,10,10,0.040771199999999994,1664.8,0.0263347,0.0071593341838159475,904.3181347782919,0.005039762164802797,5
100000,8,10,50,0.009588600000000001,1141.2,0.0084772,0.013134956449616928,53.56781786773763,0.009984065724943921,7
100000,16,10,0,0.039321199999999994,1900.4,0.0208809,0.02477567216623777,993.3260849847401,0.010088892070545266,6
100000,16,10,1,0.027392700000000002,2425.6,0.017885599999999998,0.00610504975045704,1184.822837202067,0.006303740956324621,4
100000,16,10,4,0.0556123,1926.0,0.032006400000000004,0.021523405405124284,1378.3342603785677,0.00840879345553081,6
100000,16,10,10,0.06505150000000001,1834.4,0.031741,0.024141346175527715,890.4674427887112,0.010675710488976574,7
100000,16,10,50,0.0712696,2053.6,0.035898900000000004,0.01417578720683029,1408.6023963883886,0.004652105507784142,4
