N,T,TIME_mean,RSS_mean,TIME_std,RSS_std
100000,2,0.0002279,2263.6,5.182974264090284e-05,77.84771458859063
100000,4,0.0002141,2287.6,4.4343231977633546e-05,94.11954573248264
100000,6,0.00017979999999999998,2304.4,3.5683173750227e-05,63.98472039826731
100000,8,0.00019659999999999998,2319.6,4.2781615989425486e-05,78.0985132878839
1000000,2,0.0015029000000000002,2261.2,0.00010470429260010729,77.88424459128788
1000000,4,0.0007773000000000001,2274.8,3.4176177538032404e-05,55.26662645756479
1000000,6,0.0005882,2296.0,4.001888443111714e-05,70.67924416372571
1000000,8,0.0004980000000000001,2317.6,2.3132468763863282e-05,73.05888036371759
10000000,2,0.014172500000000001,2324.4,0.0007783233047176906,47.19510332415618
10000000,4,0.0069458,2279.6,0.00028806858751191715,86.35739690379742
10000000,6,0.0047326,2278.8,9.971982974536432e-05,71.18177045033681
10000000,8,0.003696,2321.2,0.00018694384183492118,70.32748790875127
100000000,2,0.1357618,2274.0,0.003583570683612151,74.74400756359447
100000000,4,0.0669647,2302.0,0.00037576678642181334,70.02856560004639
100000000,6,0.0644617,2288.0,0.013873415905969229,72.41853660800143
100000000,8,0.0703862,2334.8,0.019219078529188416,56.50722667647623
