N,TIME_mean,RSS_mean,TIME_std,RSS_std
100,2.9e-06,1078.4,3.1622776601683797e-07,58.46024290062435
1000,5.599999999999999e-06,1127.2,5.163977794943221e-07,68.0862198490512
10000,3.479999999999999e-05,1120.8,6.324555320336755e-07,42.74160086431537
50000,0.00016480000000000002,1154.4,6.324555320336741e-07,54.42875057255025
100000,0.00032669999999999997,1101.2,1.1595018087283986e-06,55.61934116034737
500000,0.0016260999999999997,1106.4,2.7668674625929714e-06,62.14534933882377
1000000,0.0032519,1094.4,5.801340841181088e-06,84.54216567948669
5000000,0.016236200000000003,1114.4,8.066391179868854e-06,59.78331242449221
10000000,0.0324726,1101.2,1.3334999895847269e-05,72.6158843963679
50000000,0.1622658,1094.8,3.1015408357069256e-05,48.88262586145625
100000000,0.3244897,1127.6,5.491215206531321e-05,57.02085388502857
200000000,0.648974,1080.4,2.7186598005470633e-05,66.67866558686103
