N,T,sched,chunk,TIME_mean,RSS_mean,TIME_std,RSS_std
100,2,static,0,6.039999999999999e-05,1312.8,6.28546824915305e-05,602.8312459644997
100,2,static,1,4.17e-05,1155.2,3.1640339933558094e-06,45.91005699553566
100,2,static,4,3.92e-05,1110.0,2.820559440174159e-06,65.43529458769004
100,2,static,10,3.9000000000000006e-05,1103.6,2.581988897471611e-06,52.23706644817558
100,2,static,50,3.929999999999999e-05,1078.0,3.1989581637360206e-06,42.510129511812956
100,2,dynamic,0,4.5900000000000004e-05,1111.2,4.931756504757937e-06,26.98476936677017
100,2,dynamic,1,4.7300000000000005e-05,1128.0,5.774464862170731e-06,57.3798261102667
100,2,dynamic,4,4.2300000000000005e-05,1122.8,6.092800852007409e-06,42.71039425921725
100,2,dynamic,10,4.32e-05,1116.8,5.308274463305168e-06,48.32482683765032
100,2,dynamic,50,4.34e-05,1128.4,6.131883886702357e-06,46.35898570455954
100,4,static,0,8.02e-05,1135.6,3.852848873813305e-06,27.677507916075903
100,4,static,1,8.020000000000001e-05,1129.6,3.705851229249946e-06,47.970361219773565
100,4,static,4,9.92e-05,1287.6,6.70916454477671e-05,568.7864664744094
100,4,static,10,0.0001013,1313.2,6.33649920872892e-05,559.7937715504404
100,4,static,50,7.79e-05,1058.8,3.6953424138441577e-06,52.2914907035552
100,4,dynamic,0,8.66e-05,1116.4,1.5959671397341214e-05,36.92394585872125
100,4,dynamic,1,8.16e-05,1116.0,4.087922591134906e-06,63.49803146555018
100,4,dynamic,4,9.9e-05,1307.2,6.46752571613665e-05,561.4387866108923
100,4,dynamic,10,7.84e-05,1096.8,3.438345855527366e-06,54.21930775409562
100,4,dynamic,50,8.420000000000001e-05,1116.0,3.521363372331801e-06,63.04848222686341
100,6,static,0,0.0016405,1096.8,0.004835655677706317,53.15971741418078
100,6,static,1,0.0001114,1078.0,4.427188724235734e-06,66.9394419523265
100,6,static,4,0.00011,1096.8,4.422166387140533e-06,62.04801008538111
100,6,static,10,0.0001125,1096.8,4.9497474683058315e-06,73.77563584574818
100,6,static,50,0.005172100000000001,1122.0,0.006737781294066072,51.198958322736736
100,6,dynamic,0,0.0164356,1168.8,0.005290197312010205,30.91493705853747
100,6,dynamic,1,0.016125,1274.4,0.004719302773362467,575.9419723857219
100,6,dynamic,4,0.007608700000000001,1141.2,0.008840380598267375,42.91800968772382
100,6,dynamic,10,0.00011379999999999999,1122.8,7.583608053631937e-06,67.48958767428087
100,6,dynamic,50,0.00011360000000000002,1109.6,4.948624949305503e-06,59.90214242134138
100,8,static,0,0.0001422,1122.4,5.711586664161038e-06,60.375123648366596
100,8,static,1,0.00014609999999999997,1129.2,4.43345864484553e-06,46.839679285361846
100,8,static,4,0.00016269999999999997,1300.8,6.49342402400733e-05,564.9740997013344
100,8,static,10,0.00013920000000000002,1110.0,5.006662228138291e-06,49.03513479582211
100,8,static,50,0.0001445,1096.0,6.536223850375856e-06,62.595704502962676
100,8,dynamic,0,0.0001462,1116.4,6.62989860824097e-06,71.14179893392881
100,8,dynamic,1,0.00014759999999999998,1121.6,1.1423173328322075e-05,52.83769698068058
100,8,dynamic,4,0.00014399999999999998,1103.2,5.206833117271107e-06,60.18637719617289
100,8,dynamic,10,0.00014260000000000002,1116.8,5.295700562196134e-06,36.211723086438305
100,8,dynamic,50,0.0001459,1115.2,7.0466698202452745e-06,63.85539218508576
100,16,static,0,0.0280399,1108.8,0.01145714685687497,57.775042670304934
100,16,static,1,0.031250299999999995,1109.6,0.010268396748708577,41.36342990291464
100,16,static,4,0.0282016,1110.0,0.009277210335009117,66.2989860824097
100,16,static,10,0.0317156,1109.6,0.008529048900994504,49.50241296026779
100,16,static,50,0.026871199999999994,1096.8,0.009506593954841146,79.70612690795274
100,16,dynamic,0,0.026854900000000004,1134.8,0.007612277793874256,50.527880092743516
100,16,dynamic,1,0.0310241,1129.2,0.01142603967990076,46.839679285361846
100,16,dynamic,4,0.0169135,1121.6,0.0037129574690085883,68.74623221998748
100,16,dynamic,10,0.020632199999999996,1115.6,0.009924924134050933,46.96854739551186
100,16,dynamic,50,0.035135,1318.4,0.0068427108825539484,598.3093217094687
1000,2,static,0,6.209999999999999e-05,1122.8,6.244108334173012e-06,53.36832185648878
1000,2,static,1,7.780000000000001e-05,1108.4,6.0882400303098e-06,59.61207931283726
1000,2,static,4,5.94e-05,1078.0,5.189733454940949e-06,61.62971866090435
1000,2,static,10,5.6000000000000006e-05,1116.0,3.97212509593766e-06,64.38771449413139
1000,2,static,50,5.769999999999999e-05,1128.0,4.2700507413066335e-06,36.854066562894005
1000,2,dynamic,0,8.81e-05,1128.8,5.989806155275628e-06,54.74141231483001
1000,2,dynamic,1,8.65e-05,1096.0,5.8357138000038675e-06,86.61536943419581
1000,2,dynamic,4,6.039999999999999e-05,1135.6,5.581716183715862e-06,40.942235731169674
