N,T,p,umbral,chunk,TIME_mean,RSS_mean,TIME_dec_mean,desv_mean,desbalanceos_mean,TIME_std,RSS_std,TIME_dec_std,desv_std,desbalanceos_std,S_pred
100,2,10,10,1,0.0012389,2280.8,6.79e-05,1.3043732925e-06,48.128379076271145,1.6120725100868683e-05,83.73078552387075,3.956710193526382e-06,1.0723637078122906e-07,1.2247606404782838,0
100,2,10,10,4,0.0012192,2293.2,6.73e-05,2.9132192578e-06,32.75739616163223,4.516635916254512e-06,97.2520208301892,4.110960958218892e-06,1.1538514148559482e-07,1.1143120587728774,0
100,2,10,10,10,0.0013477,2233.6,6.939999999999999e-05,0.0,0.0,2.7321338831681657e-05,78.41088359830329,5.481281277625188e-06,0.0,0.0,10
100,2,10,10,50,0.0015318,2320.0,6.71e-05,0.0,0.0,9.307106006822018e-06,87.08616422830896,5.896326540030383e-06,0.0,0.0,10
100,2,10,25,1,0.0012257,2288.0,6.55e-05,1.2815213191e-06,48.10745095169426,1.1076000080253604e-05,94.9385766342288,2.990726407487726e-06,2.6832816697501136e-08,0.7967018928994098,0
100,2,10,25,4,0.0012229,2271.2,6.61e-05,2.9383102745e-06,33.118301295973204,1.698659602287772e-05,89.14008949712556,3.142893217686178e-06,7.021033509713749e-08,0.5730288669972577,0
100,2,10,25,10,0.001379,2472.4,8.92e-05,0.0,0.0,6.433765097773876e-05,705.1189340183053,6.931217625913775e-05,0.0,0.0,10
100,2,10,25,50,0.0015416,2243.6,6.76e-05,0.0,0.0,1.4229859060752805e-05,72.38047618890977,3.6270588023294524e-06,0.0,0.0,10
100,2,10,50,1,0.0012203,2288.0,6.62e-05,1.2843255522e-06,48.183117744633485,3.5605867181937746e-06,91.4864895915117,2.9363620727393658e-06,3.018638584149269e-08,1.0204097530456497,9
100,2,10,50,4,0.0012194,2304.4,6.47e-05,2.9056413586e-06,32.745328634022336,1.0946333734279348e-05,75.67063132050932,2.451756739791106e-06,8.586271345819314e-08,0.9502446350490222,10
